username,password,firstname,lastname,address1,address2
swastikp112,sipusipu112,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp113,sipusipu113,Shravan,Adhikary,Unit-8,New Delhi
swastikp114,sipusipu114,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp115,sipusipu115,Yaman,Sharma,Unit-2,Patna
swastikp116,sipusipu116,Abhisek,Patil,Unit-3,Pune
swastikp117,sipusipu117,Vikash,Mishra,Unit-5,Ranchi
swastikp125,sipusipu125,Yaman,Sharma,Unit-2,Patna
swastikp126,sipusipu126,Abhisek,Patil,Unit-3,Pune
swastikp127,sipusipu127,Vikash,Mishra,Unit-5,Ranchi
swastikp128,sipusipu128,Rahul,Chopra,Unit-4,Kolkata
swastikp129,sipusipu129,Adil,Kumar,Unit-6,Chennai
swastikp130,sipusipu130,Chris,Moody,Unit-9,Hyderabad
